entity	category	node_weight	occurrence
cytoskeletal proteins/metabolism	MESH	0.037037037037037	1
glutathione peroxidase/therapeutic use	MESH	0.037037037037037	1
b-lymphocytes/metabolism	MESH	0.037037037037037	1
BDKRB2	GENE	0.037037037037037	1
