entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
b-lymphocytes/metabolism	MESH	0.037037037037037	1	0.0	2.02467225457843	1.5182787025327	1.0	0.0	3	3.7037037037037033	3.7037037037037033
glutathione peroxidase/therapeutic use	MESH	0.037037037037037	1	0.0	2.02467225457843	1.5182787025327	1.0	0.0	4	3.7037037037037033	3.7037037037037033
cytoskeletal proteins/metabolism	MESH	0.037037037037037	1	0.0	2.02467225457843	1.5182787025327	1.0	0.0	1	3.7037037037037033	3.7037037037037033
