entity	category	node_weight	occurrence
CTLA4	GENE	0.0333333333333333	1
nf-e2-related factor 2/genetics	MESH	0.0333333333333333	1
BTRC	GENE	0.0333333333333333	1
glycogen synthase kinase 3/metabolism	MESH	0.0333333333333333	1
iron/chemistry	MESH	0.0333333333333333	1
GSK3B	GENE	0.0333333333333333	1
tor serine-threonine kinases/metabolism	MESH	0.0333333333333333	1
PRKAA2	GENE	0.0333333333333333	1
lung neoplasms/drug therapy	MESH	0.0333333333333333	1
allografts	MESH	0.0333333333333333	1
GABPA	GENE	0.0333333333333333	1
MTOR	GENE	0.0333333333333333	1
