kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
CD274	IDO1	2.28639293076149e-06	5.41116695075316e-06	0.0338983050847457	0.643193521582541	1	0
CD274	PDCD1	1.55764290354909e-13	7.47086010727829e-13	0.0338983050847457	0.643193521582541	1	0
CD274	IFNG	0.0007555044762606	0.0013397282797736	0.0991023393127429	0.643193521582541	1	0
CD274	NOC2L	2.28639293076149e-06	5.41116695075316e-06	0.0338983050847457	0.643193521582541	1	0
IDO1	NOC2L	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
SRF	MMP2	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
SRF	IFNG	5.6210813781376594e-11	2.17565762952064e-10	0.0254237288135593	0.643193521582541	1	0
IFNG	MMP2	5.6210813781376594e-11	2.17565762952064e-10	0.0254237288135593	0.643193521582541	1	0
IFNG	PDCD1	0.0	0.0	0.0254237288135593	0.643193521582541	1	0
IFNG	ACSL4	0.0005381208198234	0.0009762705714815	0.122810172488723	0.643193521582541	1	0
IFNG	NOX1	2.2204460492503094e-16	1.6369491071099504e-15	0.0254237288135593	0.643193521582541	1	0
GPX4	ACSL4	1.41345257809178e-06	3.37635020247119e-06	0.0001505114457113	0.0123899221684959	5	0
GPX4	MCU	0.0008210403085373	0.0014480381554478	0.186440677966102	0.643193521582541	1	0
VDAC1	TF	0.0003990265556311	0.0007332037728471	0.0593220338983051	0.643193521582541	1	0
VDAC1	ACSL4	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
VDAC1	TFRC	3.5277336607464297e-12	1.4935400633203598e-11	0.0254237288135593	0.643193521582541	1	0
VDAC1	SLC39A14	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
ACSL4	MCU	0.0	0.0	0.0423728813559322	0.643193521582541	1	0
ACSL4	NOX1	1.67049152288712e-10	6.14826676059587e-10	0.0423728813559322	0.643193521582541	1	0
ACSL4	SLC39A14	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
ACSL4	TFRC	0.0009266215874724	0.0016195936139717	0.122810172488723	0.643193521582541	1	0
TFRC	TF	6.274738506562021e-10	2.23351356774848e-09	0.0001311273958848	0.129984703461932	3	0
TFRC	SLC39A14	3.5277336607464297e-12	1.4935400633203598e-11	0.0254237288135593	0.643193521582541	1	0
SLC39A14	TF	0.0003990265556311	0.0007332037728471	0.059322033898305	0.643193521582541	1	0
TF	GLRX5	0.0023666487764341	0.0038493589744871	0.059322033898305	0.643193521582541	1	0
