kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
DNM1L	DENR	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	FKBP8	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	FUNDC1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
DNM1L	PINK1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FKBP8	DENR	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FKBP8	PINK1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FKBP8	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FKBP8	FUNDC1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FKBP8	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
FUNDC1	DENR	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FUNDC1	PINK1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FUNDC1	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FUNDC1	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
KEAP1	GABPA	0.0	0.0	0.0169491525423728	0.643193521582541	1	0
KEAP1	NFE2L2	4.3302904817466e-08	1.27282448845628e-07	0.0508474576271186	0.643193521582541	1	0
DENR	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
DENR	PINK1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DENR	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
EIF2S1	ATF4	1.66209646847992e-05	3.62551302189018e-05	0.0337534405331015	0.643193521582541	1	0
PINK1	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
PINK1	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
UTRN	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
ATF4	GABPA	1.03086460523372e-06	2.47093124510767e-06	0.0337534405331015	0.643193521582541	1	0
ATF4	NFE2L2	2.74324864157904e-06	6.42685126462244e-06	0.0021729682746631	0.322337075728984	2	0
NFE2L2	GABPA	2.0098735120655e-08	6.27827796429177e-08	0.0021729682746631	0.322337075728984	2	0
