kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
TICAM1	IFNA1	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0
TICAM1	TLR4	0.0006867567885109	0.001610019956897	0.074074074074074	0.491090027111315	1	0
TICAM1	TRIM69	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0
TRIM69	TLR4	0.0006867567885109	0.001610019956897	0.074074074074074	0.491090027111315	1	0
TRIM69	IFNA1	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0
IFNA1	TLR4	0.0006867567885109	0.001610019956897	0.074074074074074	0.491090027111315	1	0
IFNA1	CD36	0.0060671170344891	0.0088795237464128	0.0658472344161545	0.1868283063250888	2	1
