entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
FTH1	GENE	0.037037037037037	1	0.0	2.04251629356671	8.16652515801464	1.0	0.0	16	3.7037037037037033	3.7037037037037033
NOX4	GENE	0.037037037037037	1	0.0	2.04251629356671	8.16652515801464	1.0	0.0	13	3.7037037037037033	3.7037037037037033
NLRP3	GENE	0.037037037037037	1	0.0	2.04251629356671	8.16652515801464	1.0	0.0	15	3.7037037037037033	3.7037037037037033
HMGB1	GENE	0.037037037037037	1	0.0	2.04251629356671	8.16652515801464	1.0	0.0	1	3.7037037037037033	3.7037037037037033
