entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
TP53	GENE	0.111111111111111	3	2425.53613499989	0.426527393948948	12.5616816044039	0.954545454545455	0.487325335132309	14	4.444444444444445	11.11111111111111
HMOX1	GENE	0.037037037037037	1	55.5836257309942	0.37071185226005	5.61448604613506	0.313335373941435	0.57793255876631	2	4.444444444444445	11.11111111111111
TF	GENE	0.037037037037037	1	174.550891057949	0.423954166961367	5.10407822375915	0.333894500561167	0.313058152823276	72	4.444444444444445	11.11111111111111
ASAH2	GENE	0.037037037037037	1	55.5836257309942	0.37071185226005	5.61448604613506	0.313335373941435	0.57793255876631	5	4.444444444444445	11.11111111111111
