entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
XK	GENE	0.037037037037037	1	207.553919226553	0.365812659243586	5.08909972888685	0.311002228812467	0.639774601347148	6	4.336043360433604	14.814814814814813
HMOX1	GENE	0.037037037037037	1	343.636350514441	0.343131349531592	5.59800970177554	0.459374827313084	0.593054525257432	13	4.336043360433604	14.814814814814813
TF	GENE	0.037037037037037	1	469.707231040564	0.406972519232081	5.08909972888685	0.399196890714509	0.472751101500423	42	4.336043360433604	14.814814814814813
ASAH2	GENE	0.037037037037037	1	343.636350514441	0.343131349531592	5.59800970177554	0.459374827313084	0.593054525257432	11	4.336043360433604	14.814814814814813
TP53	GENE	0.111111111111111	3	5413.1211289421	0.385514964168454	14.0527950825384	0.982832618025751	0.585223274595412	19	4.336043360433604	14.814814814814813
ASPG	GENE	0.037037037037037	1	207.553919226553	0.365812659243586	5.08909972888685	0.311002228812467	0.639774601347148	3	4.336043360433604	14.814814814814813
NLRP1	GENE	0.037037037037037	1	207.553919226553	0.365812659243586	5.08909972888685	0.311002228812467	0.639774601347148	7	4.336043360433604	14.814814814814813
CCK	GENE	0.074074074074074	2	2322.56178859504	0.364565345372779	7.12473962044159	0.705594135091823	0.572676484245915	20	4.336043360433604	14.814814814814813
