entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
BBS9	GENE	0.037037037037037	1	0.0	0.332189025773166	4.07127978310948	0.109635469432113	0.179425912410909	154	4.148148148148148	14.814814814814813
PLEKHM1	GENE	0.037037037037037	1	0.0	0.332189025773166	4.07127978310948	0.109635469432113	0.179425912410909	156	4.148148148148148	14.814814814814813
SPANXB1	GENE	0.037037037037037	1	0.0	0.332189025773166	4.07127978310948	0.109635469432113	0.179425912410909	159	4.148148148148148	14.814814814814813
MS4A1	GENE	0.037037037037037	1	0.0	0.332189025773166	4.07127978310948	0.109635469432113	0.179425912410909	157	4.148148148148148	14.814814814814813
BDKRB2	GENE	0.037037037037037	1	0.0	0.332189025773166	4.07127978310948	0.109635469432113	0.179425912410909	155	4.148148148148148	14.814814814814813
ATG5	GENE	0.037037037037037	1	1708.23887253408	0.478089810620738	4.58018975599817	0.293982206340143	0.240827628564096	119	4.148148148148148	14.814814814814813
ROS1	GENE	0.148148148148148	4	1792.0	0.394294035927403	7.12473962044159	0.695702628525116	0.204973744470334	143	4.148148148148148	14.814814814814813
