kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
XK	ASPG	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0
XK	CCK	5.6844185756133e-05	0.0001786003669477	0.074074074074074	0.491090027111315	1	0
XK	NLRP1	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0
XK	TP53	0.0015313968527381	0.0033542680309219	0.111111111111111	0.491090027111315	1	0
HMOX1	ASAH2	2.48910234645905e-07	1.3318075285482e-06	0.037037037037037	0.491090027111315	1	0
HMOX1	TP53	0.0022568714518765	0.0047668807068041	0.111111111111111	0.491090027111315	1	0
TF	TP53	0.0005854784028423	0.0014113776959625	0.111111111111111	0.491090027111315	1	0
ASAH2	TP53	0.0022568714518765	0.0047668807068041	0.111111111111111	0.491090027111315	1	0
TP53	ASPG	0.0015313968527381	0.0033542680309219	0.111111111111111	0.491090027111315	1	0
TP53	NLRP1	0.0015313968527381	0.0033542680309219	0.111111111111111	0.491090027111315	1	0
ASPG	CCK	5.6844185756133e-05	0.0001786003669477	0.074074074074074	0.491090027111315	1	0
ASPG	NLRP1	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0
NLRP1	CCK	5.6844185756133e-05	0.0001786003669477	0.074074074074074	0.491090027111315	1	0
