entity	category	node_weight	occurrence	repGM	repGT
cytoskeletal proteins/metabolism	MESH	0.0303030303030303	1	3.0303030303030303	3.0303030303030303
b-lymphocytes/metabolism	MESH	0.0303030303030303	1	3.0303030303030303	3.0303030303030303
glutathione peroxidase/therapeutic use	MESH	0.0303030303030303	1	3.0303030303030303	3.0303030303030303
