Pre	Post	Measure	ratio	corpus_size	GS_size	COxPMID	ExPMID	PATH_ID
0.230769230769231	0.1875	Precision	-0.618450407516132	2.20951501454263	1.5910646070265	1.80769230769231	2.17525773195876	R-HSA-110313
0.0728476821192053	0.0716723549488055	Precision	-0.95677484595472	2.53655844257153	1.57978359661681	6.40725806451613	3.73538461538462	R-HSA-111465
0.0502092050209205	0.0504201680672269	Precision	-1.01667006493054	2.37839790094814	1.36172783601759	13.0449438202247	5.09523809523809	R-HSA-112409
0.0421052631578947	0.0340909090909091	Precision	-0.744727494896694	2.17609125905568	1.43136376415899	7.68041237113402	2.95575221238938	R-HSA-114508
0	0	Precision	-1.33445375115093	2.03342375548695	0.698970004336019	1.66666666666667	1.703125	R-HSA-114516
0.296296296296296	0	Precision	0.57080229759752	1.25527250510331	1.82607480270083	10.5	4	R-HSA-1169091
0.112582781456954	0.118518518518519	Precision	-0.40028122448694	2.26951294421792	1.88081359228079	6.98148148148148	3.70886075949367	R-HSA-1169408
0.0172413793103448	0.0172413793103448	Precision	-2.52113808370404	2.52113808370404	0.778151250383644	2.11111111111111	2.30487804878049	R-HSA-1222449
0	0	Precision	-2.23044892137827	2.23044892137827	1.54406804435028	4.421875	2.72289156626506	R-HSA-1222499
0.147619047619048	0.14975845410628	Precision	-0.70716448295129	2.50650503240487	1.79934054945358	6.47647058823529	3.29473684210526	R-HSA-1226099
0.0753424657534247	0.0785714285714286	Precision	-0.702297947684946	2.11727129565576	1.41497334797082	10.9634146341463	3.7603305785124	R-HSA-1227990
0.0797546012269939	0.0728476821192053	Precision	-0.479047175755701	2.3541084391474	1.8750612633917	4.61068702290076	3.2713567839196	R-HSA-1234174
0.308641975308642	0.264150943396226	Precision	0.100670161881363	1.66275783168157	1.76342799356294	9.6046511627907	4.82608695652174	R-HSA-1236394
0.125	0	Precision	-0.619788758288394	1.69897000433602	1.07918124604762	3.28571428571429	2.72222222222222	R-HSA-1237044
0.125	0	Precision	-0.795880017344075	1.69897000433602	0.903089986991944	3.28571428571429	2.72222222222222	R-HSA-1247673
0.391304347826087	0.5	Precision	0.463757293161681	1.04139268515822	1.50514997831991	3.75	4.54545454545455	R-HSA-1251985
0.51219512195122	0.533333333333333	Precision	-0.0847137346475858	1.89762709129044	1.81291335664286	3.26470588235294	3.15151515151515	R-HSA-1268020
0.0666666666666667	0.0543478260869565	Precision	-0.795880017344075	2	1.20411998265592	6.31944444444444	4.32222222222222	R-HSA-1295596
0.19047619047619	0.4	Precision	-1.41912930774198	2.02118929906994	0.602059991327962	2.86486486486486	2.43835616438356	R-HSA-1296025
0.1	0.125	Precision	-1.13211732123542	2.08635983067475	0.954242509439325	2.96428571428571	1.94444444444444	R-HSA-1296052
0.0869565217391304	0.117647058823529	Precision	-1.45101845215546	2.05307844348342	0.602059991327962	7.87179487179487	3.10810810810811	R-HSA-1296061
0.03125	0.0476190476190476	Precision	-0.385350881364017	1.92941892571429	1.54406804435028	2.36363636363636	2.39622641509434	R-HSA-1296065
0.154639175257732	0.168831168831169	Precision	-0.37276904889314	2.38560627359831	2.01283722470517	6.15584415584416	2.90184049079755	R-HSA-1296071
0.114942528735632	0.196078431372549	Precision	-1.05753932110878	2.13672056715641	1.07918124604762	8.39393939393939	2.41379310344828	R-HSA-1296346
0.145161290322581	0.230769230769231	Precision	-1.25527250510331	2.20951501454263	0.954242509439325	4.275	2.02409638554217	R-HSA-1300642
0.028169014084507	0.0289855072463768	Precision	-1.32905871926422	2.10720996964787	0.778151250383644	3.28260869565217	2.27835051546392	R-HSA-1300645
0.0576923076923077	0.0540540540540541	Precision	-1.29556709996248	1.89762709129044	0.602059991327962	4.04878048780488	3	R-HSA-1368071
0.0869565217391304	0.2	Precision	-1.31175386105575	1.91381385238372	0.602059991327962	6.16666666666667	1.83783783783784	R-HSA-140179
0.0869565217391304	0.2	Precision	-1.61278385671974	1.91381385238372	0.301029995663981	6.16666666666667	1.83783783783784	R-HSA-141333
0.12	0.107692307692308	Precision	-1.226170123399	2.30535136944662	1.07918124604762	3.81333333333333	3.53179190751445	R-HSA-1433617
0.182795698924731	0.166666666666667	Precision	-0.38933983691012	2.09691001300806	1.70757017609794	5.92857142857143	3.80869565217391	R-HSA-1445148
0.142857142857143	0.177777777777778	Precision	-1.35218251811136	2.35218251811136	1	3.52	1.97986577181208	R-HSA-1474151
0.232876712328767	0.232876712328767	Precision	-0.0480987063755776	2.09342168516224	2.04532297878666	5.20689655172414	2.69090909090909	R-HSA-1474228
0.558823529411765	0.5	Precision	0.0566154181488835	1.89762709129044	1.95424250943932	4.57142857142857	1.92452830188679	R-HSA-1474290
0.125	0	Precision	-0.619788758288394	1.69897000433602	1.07918124604762	3.28571428571429	2.72222222222222	R-HSA-1475029
0.25	0.25	Precision	0	0.778151250383644	0.778151250383644	2.66666666666667	1.8	R-HSA-1482798
0.15625	0.15625	Precision	-0.253022269592895	2.36361197989214	2.11058971029925	2.85714285714286	2.34246575342466	R-HSA-1483206
0.125766871165644	0.125766871165644	Precision	-0.947876986686411	2.87215627274829	1.92427928606188	5.77891156462585	2.73461538461538	R-HSA-1483255
0.318840579710145	0.295081967213115	Precision	-0.145422439289229	2.0899051114394	1.94448267215017	5.88888888888889	2.74358974358974	R-HSA-1500620
0.0166666666666667	0	Precision	-1.38021124171161	2.15836249209525	0.778151250383644	2.5	1.98461538461538	R-HSA-1566977
0.7	0.333333333333333	Precision	0.602059991327962	0.602059991327962	1.20411998265592	7.66666666666667	4.6	R-HSA-156711
