Measure	Corpus.Size.R	vsCorpus.P	Pathway.Size.R	vsGS.P	Mean.CO.R	vsCOxPMID.P	vsExPMID.R	vsExPMID.P	vsCOxGENE.R	vsCOxGENE.P	vsCorpusGS.R	vsCorpusGS.P
FPR	0.821887184684317	1.27829645776646e-178	0.260075284594484	1.17313282154797e-12	0.365989381854506	2.28343435402602e-24	0.272376356952054	8.80535917659452e-14	0.131081385202884	0.000405906200708317	0.151625439072675	4.1947752651351e-05
Precision	-0.184401907255015	5.85073112148126e-07	0.498131060368132	1.14805873855635e-46	-0.055112554612869	0.138475798107533	0.0800281200587299	0.0313131821559622	-0.377796994194356	5.58586305040656e-26	-0.576451413519707	2.42841444899063e-65
Recall	0.463463031166663	1.27016185847326e-39	-0.35245589629371	1.74326494492592e-22	0.137729172727627	0.00020979512896432	0.0189648637519286	0.611423744652715	0.384281429506281	9.40693939564729e-27	0.56189021419547	3.72896955864657e-61
