kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
AIFM2	ACSL4	2.9402169587911e-09	2.91283842030843e-08	0.037037037037037	0.493907099155766	1	0
AIFM2	ATL1	2.9402169587911e-09	2.91283842030843e-08	0.037037037037037	0.493907099155766	1	0
AIFM2	S100A4	2.9402169587911e-09	2.91283842030843e-08	0.037037037037037	0.493907099155766	1	0
ATL1	ACSL4	2.9402169587911e-09	2.91283842030843e-08	0.037037037037037	0.493907099155766	1	0
ATL1	S100A4	2.9402169587911e-09	2.91283842030843e-08	0.037037037037037	0.493907099155766	1	0
ACSL4	S100A4	2.9402169587911e-09	2.91283842030843e-08	0.037037037037037	0.493907099155766	1	0
