kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
GGT1	HLF	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
GGT1	IL6	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
GGT1	JAK2	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
GGT1	STAT3	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
GGT1	TGFB1	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
CXCL12	CXCR4	3.0764068070787693e-08	1.7337482896573465e-07	0.025	0.5220073418978685	1	2
CXCL12	TGFB1	2.574154340395652e-05	6.89081315736682e-05	0.05	0.5220073418978685	1	2
STAT3	IL6	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
STAT3	HLF	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
STAT3	JAK2	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
STAT3	TGFB1	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
TGFB1	CXCR4	2.574154340395652e-05	6.89081315736682e-05	0.05	0.5220073418978685	1	2
TGFB1	IL6	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
TGFB1	JAK2	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
TGFB1	HLF	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
IL6	HLF	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
IL6	JAK2	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
HLF	JAK2	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
