kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
ATG5	GPER1	0.0020683797814354	0.0041092074059346	0.075	0.5220073418978685	1	2
ATG5	IL23A	0.0007391639062875	0.0015960436776923	0.075	0.5220073418978685	1	2
ATG5	RHEB	0.0007391639062875	0.0015960436776923	0.075	0.5220073418978685	1	2
ATG5	IL17A	0.0007391639062875	0.0015960436776923	0.075	0.5220073418978685	1	2
ATG5	ESR2	0.0020683797814354	0.0041092074059346	0.075	0.5220073418978685	1	2
ATG5	TNF	0.0007391639062875	0.0015960436776923	0.075	0.5220073418978685	1	2
IL23A	IL17A	3.861689967799009e-09	2.428677305049497e-08	0.025	0.5220073418978685	1	2
IL23A	RHEB	3.861689967799009e-09	2.428677305049497e-08	0.025	0.5220073418978685	1	2
IL23A	TNF	3.861689967799009e-09	2.428677305049497e-08	0.025	0.5220073418978685	1	2
ESR2	GPER1	7.756043108875232e-07	2.985183043563408e-06	0.025	0.5220073418978685	1	2
ESR2	ESR1	0.0006714222151719	0.0014733278089865	0.05	0.5220073418978685	1	2
RHEB	IL17A	3.861689967799009e-09	2.428677305049497e-08	0.025	0.5220073418978685	1	2
RHEB	TNF	3.861689967799009e-09	2.428677305049497e-08	0.025	0.5220073418978685	1	2
ABCC1	ABCC3	1.181837337538294e-05	3.833408839764546e-05	0.0277777777777777	0.5218822461343058	1	1
ABCC1	ESR1	1.181837337538294e-05	3.833408839764546e-05	0.0277777777777777	0.5218822461343058	1	1
ABCC3	ESR1	1.181837337538294e-05	3.833408839764546e-05	0.0277777777777777	0.5218822461343058	1	1
ESR1	GPER1	0.0006714222151719	0.0014733278089865	0.05	0.5220073418978685	1	2
TNF	IL17A	3.861689967799009e-09	2.428677305049497e-08	0.025	0.5220073418978685	1	2
