PMID	QuerySet
5377600	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
5762968	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
5795469	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
37440013	('RPE', 'aging/genetics', 'oxidative stress')
19559717	('RPE', 'aging/genetics', 'oxidative stress')
26392743	('RPE', 'aging/genetics', 'oxidative stress')
28088625	('RPE', 'aging/genetics', 'oxidative stress')
26990160	('RPE', 'aging/genetics', 'oxidative stress')
33233417	('RPE', 'aging/genetics', 'oxidative stress')
30741049	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
37161583	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
35165418	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
28543431	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
27228477	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
29473753	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
33493685	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
36482512	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
22505651	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
27556694	('breast neoplasms/drug therapy', 'cell membrane', 'tumor microenvironment')
32726482	('b7-h1 antigen/metabolism', 'hep g2 cells', 'liver neoplasms/drug therapy')
32761300	('b7-h1 antigen/metabolism', 'hep g2 cells', 'liver neoplasms/drug therapy')
32748749	('b7-h1 antigen/metabolism', 'hep g2 cells', 'liver neoplasms/drug therapy')
24185179	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
29066898	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
26707081	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
24736663	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
26472041	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
9645394	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
18987612	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
32041983	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
28564604	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
29431006	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
12960351	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
7576930	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
24099423	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
31302791	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
24492297	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
31129115	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
31171598	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
30510281	('antibodies monoclonal/metabolism', 'antigens/metabolism', 'cell membrane/drug effects')
35535969	('CA2', 'hydrogen peroxide/pharmacology', 'photosensitizing agents')
18814910	('CA2', 'hydrogen peroxide/pharmacology', 'photosensitizing agents')
31796433	('drug resistance neoplasm/drug effects', 'pyroptosis/drug effects', 'skin neoplasms/drug therapy')
22562073	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
26124336	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
32555811	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
21132264	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
27171670	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
32862611	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
23354303	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
22071088	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
22266706	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
33716044	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
32295347	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
31562979	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
28423543	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
28078787	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
22847181	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
29956797	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
28771580	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
28765155	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
24627125	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
31176737	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
27429587	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
21333438	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
30362587	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
31978092	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
24041618	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
29223531	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
21708241	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
22858865	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
30556847	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
25816175	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
30601545	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
25099621	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
16613674	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
29286126	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
28466152	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
22402764	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
19834646	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
26404253	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
31113439	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
27888799	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
32248002	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
28698547	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
27083311	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
24599717	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
32716436	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
26247588	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
30320337	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
35092496	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
24495391	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
31307409	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
19820395	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
23142250	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
26486083	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
28069382	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
22406827	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
32630700	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
30788913	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
32947930	('cell proliferation/drug effects', 'cisplatin/pharmacology', 'membrane potential mitochondrial/drug effects')
36343761	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
36153957	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
34254513	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
34391019	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
33605733	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
33932703	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
36597125	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
37343132	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
36623354	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
29795534	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
28737393	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
35686947	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
34532978	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
29466856	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
33605723	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
29461122	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
33383301	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
36680943	('hypoxia/drug therapy', 'oxygen', 'photosensitizing agents/therapeutic use')
33310039	('IL1B', 'IL6', 'cisplatin/pharmacology')
23749899	('IL1B', 'IL6', 'cisplatin/pharmacology')
29051087	('IL1B', 'IL6', 'cisplatin/pharmacology')
36263529	('IL1B', 'IL6', 'cisplatin/pharmacology')
35533545	('IL1B', 'IL6', 'cisplatin/pharmacology')
10479405	('IL1B', 'IL6', 'cisplatin/pharmacology')
28258441	('IL1B', 'IL6', 'cisplatin/pharmacology')
33096924	('IL1B', 'IL6', 'cisplatin/pharmacology')
32767013	('IL1B', 'IL6', 'cisplatin/pharmacology')
24950782	('IL1B', 'IL6', 'cisplatin/pharmacology')
34468509	('IL1B', 'IL6', 'cisplatin/pharmacology')
17400889	('IL1B', 'IL6', 'cisplatin/pharmacology')
29752894	('IL1B', 'IL6', 'cisplatin/pharmacology')
30206656	('IL1B', 'IL6', 'cisplatin/pharmacology')
29441891	('IL1B', 'IL6', 'cisplatin/pharmacology')
35355438	('IL1B', 'IL6', 'cisplatin/pharmacology')
17516123	('IL1B', 'IL6', 'cisplatin/pharmacology')
36293111	('IL1B', 'IL6', 'cisplatin/pharmacology')
27273121	('IL1B', 'IL6', 'cisplatin/pharmacology')
18248879	('IL1B', 'IL6', 'cisplatin/pharmacology')
29587238	('IL1B', 'IL6', 'cisplatin/pharmacology')
34569348	('IL1B', 'IL6', 'cisplatin/pharmacology')
19666099	('IL1B', 'IL6', 'cisplatin/pharmacology')
8275438	('IL1B', 'IL6', 'cisplatin/pharmacology')
36770968	('IL1B', 'IL6', 'cisplatin/pharmacology')
36769271	('IL1B', 'IL6', 'cisplatin/pharmacology')
29115386	('IL1B', 'IL6', 'cisplatin/pharmacology')
36431915	('IL1B', 'IL6', 'cisplatin/pharmacology')
31165450	('IL1B', 'IL6', 'cisplatin/pharmacology')
24796665	('IL1B', 'IL6', 'cisplatin/pharmacology')
10746553	('IL1B', 'IL6', 'cisplatin/pharmacology')
33727094	('IL1B', 'IL6', 'cisplatin/pharmacology')
27745982	('IL1B', 'IL6', 'cisplatin/pharmacology')
37523981	('IL1B', 'IL6', 'cisplatin/pharmacology')
14734475	('IL1B', 'IL6', 'cisplatin/pharmacology')
33646995	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
31537067	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
26646455	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
25260249	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
24036144	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
21266531	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
24466583	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
32535387	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
29906314	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
25510733	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
28870684	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
32374939	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
31900786	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
31096703	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
31717470	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
23064900	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
33155602	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
30907059	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
34999176	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
22528760	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
23277146	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
26456483	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
25979858	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
26339453	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
28457936	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
32946513	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
22039262	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
25037998	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
30760647	('NFE2L2', 'nf-e2-related factor 2/genetics', 'oxidative stress/drug effects')
